ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
169 	Mounds at Uparbari & Mokarama 		Rajshahi 	Godagari 	DofA
170 	Dewpara tank & Embankment 		Rajshahi 	Godagari 	DofA
171 	Ancient Tank 		Rajshahi 	Deoapara 	DofA
172 	Ancient Shahi Mosque 		Pabna 	Chatmohar 	DofA
173 	Jagannath Temple 		Pabna 	Chatmohar 	DofA
174 	Jor Bangla Temple 	Yes 	Pabna 	Raghabpur 	DofA
175 	Tarash Bhavan 		Pabna 	Pabna 	DofA
176 	Rabindra Kachari Bari 		Sirajganj 	Shahzadpur 	DofA
177 	Birat Rajar's Mound and Adjacent sites 		Sirajganj 	Raygonj 	DofA
178 	Bangla Ghar (Temple) 		Sirajganj 	Ullahpara 	DofA
179 	Siva Temple-1 		Sirajganj 	Shahzadpur 	DofA
180 	Nabaratna Temple 		Sirajganj 	Shahzadpur 	DofA
181 	Tomb of Hajrat Makhdum Shah Doula 		Sirajganj 	Shahzadpur 	DofA
182 	Shahjadpur Dargah Mosque 		Sirajganj 	Shahzadpur 	DofA
183 	Tomb of Shamsuddin Tabriji 		Sirajganj 	Shahzadpur 	DofA
184 	Potajia Temple 		Sirajganj 	Shahzadpur 	DofA
185 	Jor Bangla Majar 		Pabna 	Bhangura 	DofA
186 	Dodevi tola Radha Ballav Bigroho 		Pabna 	Chatmohar 	DofA
187 	Madan Gopal Bigroho 		Pabna 	Chatmohar 	DofA
188 	Radhakanta Bigroho 		Pabna 	Chatmohar 	DofA
189 	Tomb of Shambhuchad Thakur 		Pabna 	Faridpur 	DofA
190 	Siva Temple-2 		Sirajganj 	Shahzadpur 	DofA
191 	Small mound (on eastern bank of Tulshiganga) 		Joypurhat 	Panchbibi 	DofA
192 	Archaeological remains of Naopukuria 		Joypurhat 	Panchbibi 	DofA
193 	Uchai village archaeological remains 		Joypurhat 	Panchbibi 	DofA
194 	Kadia Bari Mound 		Joypurhat 	Panchbibi 	DofA
195 	Dighapatia Rajbari (Uttara Ganobhaban) 		Natore 	Natore 	DofA
196 	Palace of Queen Bhabani of others Mamori 		Natore 	Natore 	DofA
197 	Chalan Bil Museum 		Natore 	Gurudaspur 	NBR
198 	Gosai Akra 		Natore 	Lalpur 	DofA
199 	Masjid and Majar 		Natore 	Lalpur 	DofA
200 	Somapur Bihar, Paharpur 	Yes 	Naogaon 	Badalgachi 	DofA
201 	Kusumba Masjid 		Naogaon 	Manda 	DofA
202 	Mahisantos Mosque 		Naogaon 	Dhamurhat 	DofA
203 	Balihar Royal Palace 	Yes 	Naogaon 	Naogaon 	DofA
204 	Sattaya Pirer Bhita 		Naogaon 	Badalgachi 	DofA
205 	Halud Vihara 	Yes 	Naogaon 	Badalgachi 	DofA
206 	Badal Pillar (Bhimer Panti) 		Naogaon 	Dhamurhat 	DofA
207 	Jagadal Vihara 	Yes 	Naogaon 	Dhamurhat 	DofA
208 	Agradigun Mound 		Naogaon 	Patnitala 	DofA
209 	Dhubal Hati Palace 		Naogaon 	Naogaon 	DofA
210 	Rabindra Kacharibari (or Khuthi?) at Patishar 		Naogaon 	Atrai 	DofA
211 	Chowja Mosque 		Naogaon 	Manda 	DofA
