226	District Judge Court Building	None	None	Khulna	Khulna City	KHKL	Mhbb
227	Collectorate Bhaban	None	None	Khulna	Khulna City	KHKL	Mhbb
228	Nagar Bhaban	None	None	Khulna	Khulna City	KHKL	Mhbb
229	Bisram Niketan	None	None	Khulna	Khulna City	KHKL	Mhbb
230	Masjeed Kur Mosque 	None	None	Khulna	Koyra	KHKL	DofA
231	House of Father-in-Law of Robindranath 	None	None	Khulna	Fultala	KHKL	DofA
232	House of Sir Prafulla Chandra Roy 	None	None	Khulna	Paikgacha	KHKL	DofA
233	Dhopa Khola Mosque	None	None	Khulna	Koyra	None	DofA
234	Three Domed Mosque	None	None	Khulna	Fultala	None	DofA
235	One Dome Mosque Near Khan Jahan's Tomb 	None	None	Bagerhat	Bagerhat	KHBH0090	DofA
236	Tomb of Peer Ali 	None	None	Bagerhat	Bagerhat	KHBH0110	DofA
237	Shabek Danga Monument 	None	None	Bagerhat	Bagerhat	KHBH0120	DofA
238	Jor Bangla Mandir	None	None	None			Sazz
239	Sona Masjid	None	None	None			Sazz
240	Durgapur Shiva Math	None	None	None			Sazz
241	Ancient Road built by Khan Jahan	None	None	Bagerhat	Bagerhat	None	DofA
242	Ten-domed Mosque	None	None	Bagerhat	Bagerhat	None	DofA
243	Adina Arch. Mound	None	None	Bagerhat	Bagerhat	None	DofA
244	Tetulia Zami Mosque 	None	None	Satkhira	Tala	KHST	DofA
245	Iswaripur Hammam Khana	None	None	Satkhira	Shyamnagar	KHST	DofA
246	Hammam & Adjacent Archaeological Sites	None	None	Satkhira	Shyamnagar	KHST	DofA
247	Probajpur Shahi Mosque	None	None	Satkhira	Kaliganj	None	DofA
248	Mound adjacent to Govinda Deva temple	None	None	Satkhira	Shyamnagar	None	DofA
249	Jhurijara Mound	None	None	Satkhira	Tala	None	DofA
250	Darbar Stamva	None	None	Satkhira	Tala	None	DofA
251	Church of Jesus	None	None	Satkhira	Shyamnagar	None	DofA
252	Temple of Joshoreshari	None	None	Satkhira	Shyamnagar	None	DofA
253	Temple of Sham Shundar	None	None	Satkhira	Kalaroa	None	DofA
254	Kothabarir Than	None	None	Satkhira	Kalaroa	None	DofA
255	Chaygharia Jora Siva Temple	None	None	Satkhira	Satkhira	None	DofA
256	Temple of Annapurna	None	None	Satkhira	Satkhira	None	DofA
257	Jamindar Bari Jame Mosque	None	None	Satkhira	Satkhira	None	DofA
258	Twelve Shiva Temple	None	None	Satkhira	Assasuni	None	DofA
259	Gahon pirbabar Mazar	None	None	None	Patnitola???	RSNA	Sazz
260	Alta Dighi Dhamoirhat	None	None	None		RSNA	Sazz
261	Katabari Mazar Patnitola	None	None	None		RSNA	Sazz
262	Chistia Babar Mazar-Patnitola	None	None	None		RSNA	Sazz
263	Ragunath Geu Mondir	None	None	None	Mohadevpur,Paharpur	RSNA	Sazz
264	Mohadevpur Razbari	None	None	None		RSNA	Sazz
265	Dhibar Pillar 	None	None	None		RSNA	???DofA
266	Chamchika Mosque	None	None	None		RSNW	Sazz
267	Bagha Mosque 	None	None	Rajshahi	Bagha	RSRS	DofA
268	Kismat Maria Mosque and Bibir Ghar 	None	None	Rajshahi	Durgapur	RSRS	DofA
269	Kumarpur Mound of Ali Kuli Beg	None	None	Rajshahi	Godagari	RSRS	DofA
270	Bara Anhik Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
271	Hawa Khana 	None	None	Rajshahi	Puthia	RSRS	DofA
272	Putia Rajbari and adjacent Ahnik temple	None	None	Rajshahi	Puthia	RSRS	DofA
273	Baro Gopal Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
274	Choto Anhik Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
275	Boro Siva Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
276	Choto Gopal Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
277	Jagadhatri Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
278	Gopal Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
279	Choto Siva Temple (Krishnapur) 	None	None	Rajshahi	Puthia	RSRS	DofA
280	Keshtha Khepar Math 	None	None	Rajshahi	Puthia	RSRS	DofA
281	Rath Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
282	Dol Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
283	Govinda Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
284	Siva Temple 	None	None	Rajshahi	Puthia	RSRS	DofA
285	Biharail Mound 	None	None	Rajshahi	Tanore	RSRS	DofA
286	Dhanora Mound 	None	None	Rajshahi	Tanore	RSRS	DofA
287	Mounds at Uparbari & Mokarama	None	None	Rajshahi	Godagari	RSRS	DofA
288	Dewpara tank & Embankment	None	None	Rajshahi	Godagari	RSRS	DofA
289	Ancient Tank	None	None	Rajshahi	Deoapara	None	DofA
290	Ancient Shahi Mosque 	None	None	Pabna	Chatmohar	RSPB	DofA
291	Jagannath Temple 	None	None	Pabna	Chatmohar	RSPB	DofA
292	Tarash Bhavan 	None	None	Pabna	Pabna	RSPB	DofA
293	Rabindra Kachari Bari 	None	None	Sirajganj	Shahzadpur	RSPB	DofA
294	Birat Rajar's Mound and Adjacent sites	None	None	Sirajganj	Raygonj	RSPB	DofA
295	Bangla Ghar (Temple)	None	None	Sirajganj	Ullahpara	RSPB	DofA
296	Siva Temple-1	None	None	Sirajganj	Shahzadpur	RSPB	DofA
297	Nabaratna Temple	None	None	Sirajganj	Shahzadpur	RSPB	DofA
298	Tomb of Hajrat Makhdum Shah Doula 	None	None	Sirajganj	Shahzadpur	RSPB	DofA
299	Shahjadpur Dargah Mosque 	None	None	Sirajganj	Shahzadpur	RSPB	DofA
300	Tomb of Shamsuddin Tabriji	None	None	Sirajganj	Shahzadpur	RSPB	DofA
301	Potajia Temple 	None	None	Sirajganj	Shahzadpur	RSPB	DofA
302	Jor Bangla Majar	None	None	Pabna	Bhangura	RSPB	DofA
303	Dodevi tola Radha Ballav Bigroho	None	None	Pabna	Chatmohar	RSPB	DofA
304	Madan Gopal Bigroho	None	None	Pabna	Chatmohar	RSPB	DofA
305	Radhakanta Bigroho	None	None	Pabna	Chatmohar	RSPB	DofA
306	Tomb of Shambhuchad Thakur	None	None	Pabna	Faridpur	RSPB	DofA
307	Siva Temple-2	None	None	Sirajganj	Shahzadpur	None	DofA
308	Small mound (on eastern bank of Tulshiganga)	None	None	Joypurhat	Panchbibi	RSJP	DofA
309	Archaeological remains of Naopukuria 	None	None	Joypurhat	Panchbibi	RSJP	DofA
310	Uchai village archaeological remains	None	None	Joypurhat	Panchbibi	RSJP	DofA
311	Kadia Bari Mound	None	None	Joypurhat	Panchbibi	RSJP	DofA
312	Dighapatia Rajbari (Uttara Ganobhaban)	None	None	Natore	Natore	RSNT	DofA
313	Palace of Queen Bhabani of others Mamori	None	None	Natore	Natore	RSNT	DofA
314	Chalan Bil Museum 	None	None	Natore	Gurudaspur	RSNT	NBR
315	Gosai Akra	None	None	Natore	Lalpur	None	DofA
316	Masjid and Majar	None	None	Natore	Lalpur	None	DofA
317	Kusumba Masjid	None	None	Naogaon	Manda	RSNA	DofA
318	Mahisantos Mosque	None	None	Naogaon	Dhamurhat	RSNA	DofA
319	Sattaya Pirer Bhita	None	None	Naogaon	Badalgachi	RSNA	DofA
